yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_wthn_5_yrs_pc, age_of_persons_born_overseas_census_5_9_years_num, lbr_frce_stts_prsns_brn_ovrss_cnss_ttl_ppltn_agd_15_yrs_nm, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_indqtly_dscrb_std_pc, age_of_persons_born_overseas_census_10_14_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_nl_pc, population_of_persons_born_overseas_census_males_num, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_1000_1999_pr_wk_pc, lbr_frce_stts_prsns_brn_ovrss_cnss_prtcptn_rte_pc, age_of_persons_born_overseas_census_35_39_years_num, age_of_persons_born_overseas_census_45_49_years_num, occupation_of_persons_born_overseas_census_managers_pc, yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_10_yrs_ago_pc, rlgs_affltn_prsns_brn_ovrss_cnss_sprtl_blfs_pc, age_of_persons_born_overseas_census_80_84_years_num, lbr_frce_stts_prsns_brn_ovrss_cnss_unmplymnt_rte_pc, age_of_persons_born_overseas_census_25_29_years_num, rlgs_affltn_prsns_brn_ovrss_cnss_chrstnty_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_bchlr_dgre_pc, englsh_prfcncy_prsns_brn_ovrss_cnss_prfcnt_pc, age_of_persons_born_overseas_census_40_44_years_num, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_grdte_dplma_crtfe_pc, occupation_of_persons_born_overseas_census_labourers_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_schl_edctn_pc, occptn_prsns_brn_ovrss_cnss_mchnry_oprtrs_drvrs_pc, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_1_499_pr_wk_pc, age_of_persons_born_overseas_census_75_79_years_num, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_pstgrde_dgre_pc, age_of_persons_born_overseas_census_85_years_and_over_num, age_of_persons_born_overseas_census_60_64_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ngtve_pc, religious_affiliation_persons_born_overseas_census_judaism_pc, occptn_prsns_brn_ovrss_cnss_tchncns_trds_wrkrs_pc, ctznshp_st_prsn_brn_ovrs_cns_astrln_ctzn_pc, occupation_of_persons_born_overseas_census_professionals_pc, religious_affiliation_of_persons_born_overseas_census_islam_pc, age_of_persons_born_overseas_census_65_69_years_num, sa3_name_2016, year_arrival_of_persons_born_overseas_census_arrival_stated_pc, religious_affiliation_persons_born_overseas_census_buddhism_pc, citizenship_status_persons_born_overseas_census_stated_pc, age_of_persons_born_overseas_census_30_34_years_num, religious_affiliation_persons_born_overseas_census_religion_pc, labour_force_status_persons_born_overseas_census_employed_num, religious_affiliation_persons_born_overseas_census_hinduism_pc, age_of_persons_born_overseas_census_15_19_years_num, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_2000_2999_pr_wk_pc, english_proficiency_persons_born_overseas_census_proficient_pc, age_of_persons_born_overseas_census_70_74_years_num, rlgs_affltn_prsns_brn_ovrss_cnss_rlgn_sclr_blfs_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_edctn_sttd_pc, occptn_prsns_brn_ovrss_cnss_indqtly_dscrbd_sttd_pc, age_of_persons_born_overseas_census_55_59_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_3000_pr_wk_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_crtfcte_pc, occptn_prsns_brn_ovrss_cnss_clrcl_admnstrtve_wrkrs_pc, labour_force_status_persons_born_overseas_census_stated_pc, age_of_persons_born_overseas_census_0_4_years_num, age_of_persons_born_overseas_census_50_54_years_num, age_of_persons_born_overseas_census_20_24_years_num, occptn_prsns_brn_ovrss_cnss_cmmnty_prsnl_srvce_wrkrs_pc, population_of_persons_born_overseas_census_females_num, yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_5_10_yrs_ago_pc, labour_force_status_persons_born_overseas_census_num, english_proficiency_persons_born_overseas_census_stated_pc, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_advnc_dplma_pc, occupation_of_persons_born_overseas_census_sales_workers_pc, population_of_persons_born_overseas_census_persons_num, yr, labour_force_status_persons_born_overseas_census_unemployed_num, labour_force_status_persons_born_overseas_census_pc, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_500_999_pr_wk_pc, ctznshp_stts_prsns_brn_ovrss_cnss_astrln_ctzn_pc, sa3_code_2016, rlgs_affltn_prsns_brn_ovrss_cnss_indqtly_dscrbd_sttd_pc
10.1,464,25882,3.0,585,10.7,13115,26.5,61.4,2415,2275,11.1,73.8,0.1,715,5.9,1586,61.5,15.6,5.3,2127,1.3,9.5,38.1,10.6,28.7,1151,6.6,586,2261,0.5,0.1,12.2,31.6,20.8,4.4,2331,"Penrith",3.2,3.5,2.0,2336,3.5,14961,6.4,752,4.8,93.8,1668,16.5,4.6,1.8,2396,1.9,14.8,16.8,1.0,167,2378,902,10.1,13983,12.9,15897,0.8,9.8,7.1,27104,2016,936,37.6,23.9,66.4,"12403",3.5
7.3,49,4773,8.8,54,7.3,2385,22.9,54.2,322,404,13.8,77.7,0.2,179,4.4,302,64.1,9.4,4.7,323,1.2,12.8,41.0,8.5,30.5,264,4.2,176,438,0.6,0.2,16.1,30.2,16.4,1.7,461,"Richmond - Windsor",8.6,3.0,6.7,310,0.4,2475,1.1,84,4.4,89.5,362,20.5,10.3,1.6,495,1.4,17.2,14.0,1.4,28,492,155,10.6,2518,6.4,2588,5.9,9.3,6.2,4901,2016,113,44.4,24.1,63.3,"12404",8.4
10.2,222,13792,3.3,372,11.4,7155,24.3,60.2,1275,1141,7.7,74.7,0.1,330,7.3,984,66.6,13.5,7.7,1092,0.9,13.4,42.7,15.8,29.7,471,4.1,229,1262,0.9,null,13.3,30.7,14.5,8.1,1090,"St Marys",3.2,3.0,1.8,1212,2.2,7688,6.0,537,2.9,91.6,711,10.8,5.4,1.9,1422,0.8,14.6,16.0,1.5,80,1343,696,10.9,7316,12.0,8296,0.8,8.7,6.3,14470,2016,608,38.3,26.7,67.5,"12405",3.0
25.5,879,51421,3.7,990,17.2,28892,18.2,60.4,5297,4042,9.0,51.5,0.1,634,10.2,8069,26.4,18.8,28.0,4013,1.0,15.6,41.2,7.9,30.2,995,8.0,556,2843,1.1,null,17.2,46.3,18.6,25.2,2042,"Auburn",4.2,9.6,2.3,7478,1.1,27879,9.6,1693,2.9,70.3,1350,23.1,4.2,3.2,3639,1.2,5.8,10.4,1.2,537,4060,4718,9.8,24940,18.8,31055,1.7,8.6,8.2,53828,2016,3176,38.4,25.5,51.4,"12501",4.7
13.6,630,28202,1.8,756,16.3,14298,24.2,62.3,2946,2748,12.6,68.1,0.1,581,7.2,1943,41.4,24.8,19.4,2839,1.7,7.6,30.8,5.0,26.6,846,12.8,424,2180,0.7,0.1,11.7,34.7,30.6,4.4,1712,"Carlingford",2.9,8.1,1.4,2974,1.7,16298,5.5,1115,6.4,80.1,1116,34.8,2.6,2.1,2649,2.7,7.0,14.7,0.8,289,2915,1223,8.0,15579,15.3,17563,0.5,9.9,7.7,29880,2016,1265,37.0,21.4,63.9,"12502",3.7
16.3,1029,64688,4.0,1403,13.5,34660,17.4,53.3,6331,5902,8.5,65.0,0.1,1423,10.4,6573,40.8,13.8,22.8,5535,0.8,14.0,44.9,11.2,36.8,2045,5.2,1351,4340,1.1,null,16.2,31.5,16.4,25.0,3700,"Merrylands - Guildford",4.1,8.6,1.7,7330,1.9,30884,7.0,2206,2.4,75.7,2687,12.5,5.3,2.8,5162,0.8,9.0,12.4,1.4,485,5844,4263,10.9,32937,14.6,34472,1.5,8.6,7.7,67593,2016,3588,45.3,24.0,66.8,"12503",3.9
29.3,2408,67473,2.1,1949,15.8,37262,27.5,68.1,9645,4317,10.1,46.3,0.1,1096,8.7,8995,28.5,27.0,12.5,5868,1.7,8.6,25.6,6.8,23.2,1531,16.5,967,3226,0.6,0.1,9.5,47.8,33.4,6.9,2650,"Parramatta",3.2,4.3,1.3,13271,4.8,41986,36.0,1905,6.6,86.8,1855,15.7,2.9,2.1,3735,1.8,5.6,13.9,1.0,1770,4272,4129,8.1,36330,21.3,45974,0.7,8.4,7.4,73593,2016,3988,30.9,22.5,50.9,"12504",3.4
18.9,573,19609,1.9,623,17.3,10195,25.5,65.5,2048,1704,15.0,62.5,0.1,342,7.3,1699,36.8,30.3,14.2,1959,2.4,4.6,23.0,2.1,20.7,504,19.1,317,1428,0.6,0.1,7.4,38.3,42.3,2.1,1096,"Pennant Hills - Epping",3.2,8.1,1.3,1920,1.2,11910,9.3,855,9.8,85.2,685,37.9,2.3,1.7,1729,6.2,4.0,13.8,0.7,281,1968,1361,6.6,10892,15.4,12853,0.6,8.6,6.5,21085,2016,943,33.8,17.8,60.4,"12601",4.2
22.5,1064,58016,2.3,1015,17.2,28759,24.8,62.9,6139,4180,14.0,58.6,0.1,1385,7.6,6710,40.3,28.5,15.0,4687,1.7,6.1,27.4,3.1,23.4,1884,16.1,1420,3693,0.7,0.7,9.8,43.1,35.8,3.4,3263,"Ryde - Hunters Hill",3.4,7.3,1.3,7503,1.2,33699,6.6,1734,7.3,84.3,2199,35.9,2.9,1.8,3969,4.4,5.7,13.8,0.7,732,4413,4839,7.8,32065,15.6,36478,0.6,9.0,7.8,60825,2016,2779,36.4,20.0,55.6,"12602",4.3
7.6,443,36559,2.9,738,11.6,18392,22.6,58.7,3738,3733,10.9,79.7,0.1,655,7.0,2287,54.6,12.2,18.8,3729,0.8,12.9,46.2,13.2,32.6,1013,3.0,536,3051,0.6,null,14.6,19.4,15.6,11.9,2374,"Bringelly - Green Valley",2.8,12.2,1.7,3420,2.9,19948,6.3,1095,3.3,80.4,1608,8.7,4.3,2.7,3655,1.2,12.2,14.2,1.1,152,4060,1620,9.0,19499,10.0,21449,0.8,9.5,6.8,37891,2016,1501,40.3,25.3,78.9,"12701",3.0
13.9,1536,95672,3.5,2189,12.4,47408,13.9,46.9,7686,9613,7.5,72.2,null,2661,11.1,6386,51.6,8.2,35.6,8647,0.4,18.7,53.1,14.7,43.8,3708,1.5,2451,8361,1.0,null,15.3,24.2,11.3,4.7,6880,"Fairfield",3.4,27.1,1.6,7286,1.4,39857,1.0,3165,1.5,63.6,4604,10.8,4.5,3.0,9755,0.6,9.3,11.3,1.4,659,9661,4820,10.4,52652,10.5,44837,0.8,7.1,7.7,100056,2016,4980,51.7,23.4,74.3,"12702",3.0
14.2,1072,45990,2.9,1477,12.5,23815,22.3,57.4,4932,4325,9.3,68.1,0.1,904,8.4,3727,46.6,15.8,17.7,4649,1.0,11.4,39.8,11.5,32.6,1372,5.6,800,3228,0.7,null,13.7,27.5,19.8,15.3,2594,"Liverpool",2.5,6.1,1.6,4904,8.1,24155,11.0,1707,3.4,81.5,1849,9.4,4.1,2.4,3979,1.3,11.1,14.5,1.1,425,4478,2539,10.5,25153,15.2,26377,0.9,10.1,6.9,48972,2016,2222,41.5,24.2,70.8,"12703",3.1
10.8,355,19592,3.0,437,8.8,9664,26.1,63.3,1739,1828,17.0,74.9,0.2,728,4.3,1014,58.5,20.0,6.3,1724,1.7,7.1,32.9,4.5,25.5,1034,7.6,706,1526,0.4,0.4,11.3,29.9,25.6,1.9,1619,"Cronulla - Miranda - Caringbah",3.2,4.3,1.7,1562,0.8,11866,2.1,445,7.2,93.1,1349,27.7,4.3,1.6,1774,5.6,13.1,14.8,0.8,156,1923,611,9.6,10877,11.1,12400,0.6,11.2,8.5,20538,2016,534,35.9,23.4,68.4,"12801",3.7
7.6,306,17921,2.8,350,8.7,8930,27.2,64.9,1570,1768,15.8,79.0,0.2,523,3.7,728,60.4,20.0,5.7,1661,1.8,5.9,31.3,4.3,25.1,803,8.5,543,1632,0.5,0.2,11.5,25.5,27.5,2.1,1586,"Sutherland - Menai - Heathcote",2.7,3.6,1.5,1227,0.7,11204,2.7,470,8.3,93.9,1197,26.4,3.8,1.7,1777,5.1,14.2,16.5,0.6,112,1972,457,9.1,9753,10.8,11638,0.4,11.2,7.4,18681,2016,434,34.5,22.3,73.1,"12802",3.3
15.5,254,9126,3.3,322,11.3,4703,19.6,54.0,738,625,11.8,64.4,0.1,367,8.9,660,50.3,18.5,4.6,670,2.9,9.3,33.2,4.4,35.2,539,9.1,324,706,0.7,0.2,12.5,39.7,32.3,3.2,882,"Ballarat",3.8,3.9,1.9,779,2.2,4487,5.0,342,3.6,94.8,623,30.5,5.3,2.0,646,3.0,11.7,9.2,1.1,79,661,566,11.9,5081,16.2,4926,0.7,9.3,6.5,9781,2016,439,45.0,23.3,58.5,"20101",4.1
4.9,27,3365,3.6,46,6.8,1690,16.8,49.6,165,272,16.5,84.0,0.4,143,5.4,71,51.6,14.4,1.9,194,2.6,9.8,34.8,4.0,41.1,231,6.7,115,437,0.8,0.2,14.1,32.6,23.6,0.5,521,"Creswick - Daylesford - Ballan",4.4,2.2,1.4,106,1.3,1579,0.9,46,3.8,97.9,321,37.3,7.0,1.3,352,2.2,16.6,11.7,1.3,10,351,34,13.1,1759,6.8,1669,0.3,11.6,5.4,3448,2016,90,49.1,25.0,65.9,"20102",5.0
4.8,24,2279,6.1,26,6.9,1176,11.2,35.6,82,159,13.4,82.6,0.3,100,8.1,53,56.9,9.8,1.9,104,1.6,17.2,41.6,5.8,51.9,215,2.7,78,306,0.7,0.1,14.8,33.6,17.2,0.6,356,"Maryborough - Pyrenees",6.8,2.1,2.9,55,1.2,745,1.3,19,1.3,95.8,290,30.1,11.6,2.1,232,0.4,17.9,10.7,2.0,10,201,33,13.3,1163,6.0,811,2.4,8.5,6.4,2339,2016,66,62.0,21.4,63.2,"20103",6.8
17.1,233,6899,3.3,318,9.6,3640,18.5,56.8,624,509,9.6,57.3,0.2,194,7.0,566,53.0,17.4,9.7,565,2.3,17.4,33.4,5.0,34.3,326,7.1,217,467,0.7,0.1,10.5,41.7,30.5,4.4,556,"Bendigo",4.5,6.8,1.6,679,2.5,3646,5.0,367,3.8,89.6,422,24.4,5.1,1.9,485,3.0,11.5,8.0,1.0,98,529,396,11.5,3905,21.1,3919,0.7,8.7,5.8,7544,2016,273,42.2,26.8,56.6,"20201",3.1
6.9,75,5139,7.5,90,6.6,2774,17.8,51.2,285,423,15.7,76.9,0.2,173,4.8,210,45.6,18.4,3.2,408,3.2,13.5,28.7,3.8,35.7,342,7.4,153,550,0.3,0.4,11.1,31.1,28.8,0.3,661,"Heathcote - Castlemaine - Kyneton",9.3,2.1,5.6,250,1.1,2504,1.0,91,4.6,91.8,474,40.5,9.8,1.6,519,2.9,13.9,9.3,1.3,30,502,108,10.0,2561,6.9,2629,4.9,11.0,6.2,5340,2016,125,47.6,24.7,63.2,"20202",8.4
8.8,9,768,5.7,12,8.6,381,13.3,43.0,45,56,21.7,76.5,null,30,6.4,10,61.7,11.0,2.5,34,0.9,20.1,38.7,6.8,45.1,51,2.4,23,91,1.3,null,14.9,39.2,13.6,0.9,131,"Loddon - Elmore",4.7,3.0,0.6,30,1.1,309,1.4,18,1.7,97.2,75,28.2,10.0,3.6,91,0.7,19.4,10.7,2.7,null,78,8,7.4,409,10.0,330,1.1,10.1,3.9,793,2016,21,54.9,23.0,59.6,"20203",3.9
5.2,23,1734,4.4,38,6.4,904,21.9,57.2,99,130,16.5,82.2,0.2,63,3.7,35,57.6,13.3,0.9,125,2.5,11.8,36.0,5.2,34.6,109,4.7,54,214,0.2,null,17.0,32.7,20.3,1.1,223,"Barwon - West",4.5,1.0,2.5,84,1.0,955,0.4,38,3.6,98.3,142,34.1,5.5,2.1,204,3.1,19.7,10.7,1.0,6,199,28,10.8,903,8.4,992,0.4,10.6,6.6,1804,2016,37,41.8,26.0,65.0,"20301",4.0
8.1,230,8419,3.7,229,7.6,4332,20.1,51.3,534,625,15.0,76.6,0.3,416,5.3,225,55.8,17.4,2.0,669,3.0,8.0,31.4,3.2,34.6,591,6.2,390,788,0.4,0.1,14.0,30.9,28.2,0.6,1078,"Surf Coast - Bellarine Peninsula",3.7,1.8,1.6,449,0.5,4090,0.9,197,5.1,97.4,873,35.1,5.7,1.5,711,3.8,15.0,11.9,1.2,81,708,150,11.5,4628,11.7,4317,0.5,11.3,6.9,8954,2016,227,47.5,24.6,67.6,"20303",4.5
10.5,74,5413,4.6,110,9.6,2768,17.3,47.5,268,324,17.9,74.8,0.2,260,4.9,228,55.2,12.1,4.1,259,2.2,15.7,39.0,4.5,38.8,373,3.5,211,524,1.0,0.1,14.9,36.8,17.6,1.4,710,"Upper Goulburn Valley",5.9,2.8,1.9,269,1.4,2443,1.0,232,3.0,95.2,574,33.5,8.3,1.8,490,1.9,17.0,10.0,1.6,29,487,194,11.7,2854,8.8,2570,0.7,10.0,6.3,5622,2016,127,50.9,23.8,61.4,"20401",3.8
6.9,37,3499,5.5,73,6.4,1715,16.1,45.9,194,198,14.9,79.8,0.1,187,5.7,144,60.1,13.8,4.4,193,1.9,13.1,37.2,4.4,40.5,286,4.4,221,344,0.7,0.2,12.9,30.0,25.5,1.5,481,"Wangaratta - Benalla",4.3,3.6,1.7,166,1.2,1514,3.1,44,2.5,94.0,435,25.3,9.3,1.7,297,1.9,16.1,9.2,2.4,23,241,60,12.3,1915,9.3,1606,1.7,10.0,5.5,3632,2016,92,51.7,26.2,68.3,"20402",4.6
10.5,145,6894,4.3,182,7.2,3526,19.2,50.3,418,493,14.2,72.4,0.1,342,5.4,353,57.9,14.1,4.7,480,2.2,13.0,34.9,5.9,38.5,494,4.7,335,593,0.6,0.1,13.2,31.3,22.2,1.4,821,"Wodonga - Alpine",4.7,3.0,1.8,383,1.6,3280,4.7,181,3.1,94.1,676,26.5,6.8,1.8,580,1.6,16.4,9.5,1.6,74,555,201,14.0,3762,12.5,3467,1.1,10.8,6.3,7291,2016,187,48.1,25.5,66.9,"20403",4.0
6.9,80,5067,4.0,82,7.5,2491,17.3,48.9,249,345,17.1,80.1,0.2,252,6.4,201,60.3,12.4,2.9,310,2.2,12.9,38.2,4.5,39.7,422,4.6,184,507,0.5,null,14.1,31.9,23.3,1.0,657,"Baw Baw",3.9,2.3,1.7,246,1.1,2321,1.4,107,3.3,96.5,584,28.5,6.0,1.6,450,2.3,18.0,10.9,1.2,26,442,122,9.8,2770,9.2,2480,0.5,10.5,5.8,5261,2016,159,49.7,25.5,66.4,"20501",4.6
6.7,65,4729,5.0,63,5.9,2342,13.6,37.9,172,224,15.5,81.5,0.1,300,5.9,146,57.1,12.3,3.0,225,2.0,16.9,38.3,3.3,45.5,519,3.5,226,513,0.8,0.1,12.7,30.3,21.3,0.6,739,"Gippsland - East",5.0,2.2,1.8,193,0.9,1685,1.5,48,2.0,95.8,658,31.8,9.0,2.1,389,1.4,18.0,8.4,2.3,21,315,65,12.2,2536,6.8,1791,1.3,9.7,7.4,4876,2016,106,59.8,25.6,68.2,"20502",5.0
5.8,86,7658,4.4,109,6.2,3772,13.7,41.0,318,422,18.7,82.5,0.2,446,5.6,236,57.8,12.0,3.0,339,2.0,14.2,39.3,4.5,45.7,707,3.6,403,875,0.6,0.2,13.3,32.5,19.4,0.4,1164,"Gippsland - South West",4.1,2.6,1.4,326,0.9,2967,1.2,104,2.0,96.2,978,31.9,8.2,1.3,648,1.5,17.2,8.6,1.7,39,602,100,12.0,4127,7.6,3143,0.8,10.2,8.1,7895,2016,176,57.2,25.8,66.1,"20503",4.3
8.1,106,8735,4.8,191,8.8,4308,14.1,40.5,435,478,10.9,78.1,0.2,540,9.7,332,65.4,10.4,5.4,433,1.4,11.8,41.7,6.7,44.3,798,4.1,565,851,0.6,null,14.4,32.4,23.1,2.3,1215,"Latrobe Valley",3.8,3.2,1.9,425,0.8,3193,2.2,197,3.1,93.9,916,22.2,9.2,1.7,731,2.0,17.5,11.2,1.9,43,606,224,13.2,4765,10.0,3537,0.8,8.0,7.2,9074,2016,344,57.6,22.3,65.7,"20504",3.4
10.8,87,4305,10.9,106,7.8,2291,16.9,45.5,285,280,20.1,68.2,0.2,163,5.8,220,55.0,12.7,3.5,245,1.7,15.2,35.6,3.9,36.2,288,3.0,162,443,0.6,0.1,11.1,34.6,22.9,1.5,556,"Wellington",10.6,3.1,7.7,315,1.5,1844,2.2,77,3.1,89.6,379,26.2,13.3,1.7,394,2.4,15.2,7.8,1.5,36,358,134,11.7,2245,10.4,1958,6.9,9.5,5.5,4538,2016,114,53.2,22.2,57.6,"20505",9.6
23.4,336,25697,2.6,273,10.3,12827,21.9,58.1,2491,1358,11.8,59.9,0.2,1217,7.8,3589,42.5,22.2,15.0,1613,2.8,9.0,35.3,4.0,35.2,1481,12.7,1083,1374,0.5,0.2,11.8,43.4,33.8,8.9,1475,"Brunswick - Coburg",3.2,4.3,1.6,3395,0.9,13782,6.1,444,5.0,84.5,1370,32.8,3.4,1.7,1375,2.3,6.9,10.7,1.0,257,1445,1987,10.8,13731,13.5,14940,0.5,7.7,6.4,26559,2016,1158,40.8,22.1,55.0,"20601",3.6
15.7,166,12935,3.3,155,7.3,6269,22.3,57.9,1258,862,14.1,68.1,0.2,801,5.9,1297,46.4,22.2,16.1,923,3.1,7.3,34.7,3.3,35.4,932,12.3,670,698,0.4,0.3,10.7,35.6,37.4,3.0,817,"Darebin - South",3.4,4.6,1.5,1552,1.2,7044,4.5,193,5.8,83.2,778,35.5,4.0,1.4,784,4.0,7.0,10.3,1.2,80,815,559,9.7,7074,12.8,7483,0.7,7.6,5.9,13342,2016,439,41.0,21.6,62.8,"20602",3.7
22.8,333,17410,3.0,321,10.7,8605,22.4,61.1,1681,1139,12.9,58.7,0.1,615,9.1,2226,44.6,23.8,13.2,1297,2.5,8.9,31.4,4.1,31.9,744,12.2,622,985,0.8,0.1,9.0,42.0,33.0,8.2,1011,"Essendon",3.0,6.9,1.6,2508,1.3,9663,8.7,448,6.0,86.2,782,26.0,4.0,1.8,1051,3.6,7.2,13.3,1.2,248,1099,1192,10.3,9707,15.5,10629,0.7,8.6,6.7,18308,2016,966,37.8,21.6,56.4,"20603",3.6
53.4,568,73945,1.7,440,28.7,35475,19.7,57.4,5123,2137,12.3,24.9,0.1,402,14.8,16588,22.7,33.0,11.2,2867,1.8,7.6,32.8,1.6,22.2,541,14.3,435,1350,1.2,0.3,8.8,76.0,37.9,5.2,1189,"Melbourne City",5.4,11.4,1.3,10913,0.7,36156,6.9,6918,5.2,88.1,722,48.4,2.5,1.7,1574,3.2,3.0,9.9,0.5,718,1954,21230,12.6,40195,16.4,42438,0.7,7.5,7.7,75674,2016,6282,42.1,18.1,22.7,"20604",3.9
28.5,446,30399,2.2,416,8.6,15421,30.3,72.9,3717,1940,18.1,50.6,0.3,604,6.1,4935,35.6,31.1,6.4,2447,3.1,4.7,22.9,1.7,20.4,871,15.4,714,1337,0.5,4.6,9.0,50.4,38.0,2.4,1468,"Port Phillip",3.2,3.9,1.7,5449,0.8,20812,5.5,537,9.7,93.1,1032,42.0,3.0,1.8,1536,8.0,7.0,11.5,0.8,366,1770,2046,8.8,16212,17.6,22157,0.5,9.9,6.5,31632,2016,1345,26.3,20.3,47.9,"20605",4.2
24.5,263,24539,2.7,312,8.0,11843,26.8,66.5,2594,1542,15.5,57.1,0.3,724,7.7,4030,33.5,28.5,15.1,1785,3.0,5.7,28.9,2.1,29.0,840,14.0,609,1196,0.6,0.7,8.1,43.6,40.9,5.0,1185,"Yarra",3.4,9.8,1.6,4075,0.6,15052,1.9,551,7.8,84.2,879,43.5,3.5,1.7,1317,5.7,6.0,9.5,1.1,165,1427,1783,10.0,13436,15.0,16313,0.7,7.9,6.7,25279,2016,1261,32.5,19.3,54.7,"20607",4.0
21.9,1453,47820,2.3,1739,15.8,24095,23.0,61.6,4165,4021,18.8,60.2,0.2,1341,7.3,4625,36.5,29.2,11.0,4072,3.1,4.5,26.1,1.5,22.7,1752,16.1,1395,3018,0.6,0.9,6.3,41.1,39.9,2.9,2891,"Boroondara",3.1,8.4,1.3,4683,1.2,27315,6.6,2639,7.7,88.6,2110,38.6,2.4,1.8,3427,9.0,4.3,11.9,0.5,625,4106,3567,7.3,27548,14.8,29475,0.4,8.3,8.0,51643,2016,2160,37.8,18.9,57.6,"20701",4.4
15.0,864,37943,2.5,958,15.7,18859,19.9,54.2,3070,2746,17.2,68.1,0.1,1673,7.8,2596,43.2,23.5,16.9,2719,2.2,6.4,35.1,3.0,31.4,2233,10.8,1393,3096,0.6,0.4,10.0,33.6,30.5,4.3,3099,"Manningham - West",3.2,8.8,1.5,3095,1.9,18958,3.0,1647,5.3,82.4,2372,33.9,3.6,1.9,3176,3.6,6.3,12.8,1.0,308,3215,1813,9.1,21216,13.8,20557,0.7,8.7,9.2,40071,2016,1599,44.9,21.0,64.9,"20702",4.2
27.5,751,38615,2.2,940,21.0,19312,19.3,56.7,3149,2618,13.3,52.0,0.1,1116,10.4,4796,32.6,25.3,17.8,2893,2.3,8.3,32.8,3.1,28.9,1430,12.7,1082,2169,0.9,0.2,10.1,51.2,32.3,2.5,1883,"Whitehorse - West",3.7,10.9,1.2,4221,1.7,19612,5.7,2058,4.7,81.7,1525,42.1,2.9,2.0,2349,2.9,5.0,12.2,0.8,389,2523,4811,9.9,21386,16.8,21877,0.5,10.0,8.8,40699,2016,2265,42.6,20.2,47.6,"20703",4.0
15.9,952,22287,2.7,1034,11.2,11561,22.4,62.6,1798,2479,25.4,67.7,0.1,760,5.2,891,47.2,26.7,5.3,2296,3.0,2.9,25.6,1.6,22.9,1051,12.2,898,1611,0.5,4.6,6.7,32.9,35.1,1.1,1777,"Bayside",2.6,3.0,1.6,1328,0.8,13226,1.9,1029,9.1,94.4,1293,36.0,3.2,1.5,1928,13.7,6.6,12.1,0.7,307,2357,791,7.4,13014,13.8,13949,0.3,10.0,7.4,24573,2016,723,36.7,17.7,65.5,"20801",4.9
31.0,235,20146,2.3,258,11.1,9752,29.4,68.6,1928,1005,17.5,50.4,0.2,570,6.5,3583,34.5,33.9,8.5,1247,2.9,4.3,23.8,1.1,20.0,741,15.6,597,865,0.6,4.4,7.2,50.9,40.4,2.6,1012,"Stonnington - West",2.9,5.7,1.7,3500,0.9,12929,5.2,518,9.1,91.0,789,41.8,3.1,1.8,903,8.7,5.0,11.3,0.8,182,959,1928,8.7,11061,15.6,13823,0.4,9.0,7.8,20815,2016,894,30.6,18.8,47.4,"20606",4.3
22.2,1297,50624,2.8,1249,14.2,25602,24.1,62.3,4738,3604,15.7,58.7,0.1,1653,7.1,5572,30.1,27.9,9.3,4028,2.6,6.2,27.2,2.6,25.5,2035,13.6,2158,2911,0.6,17.5,9.8,40.7,35.0,1.4,3324,"Glen Eira",2.8,4.7,1.6,6099,1.2,29320,10.0,1742,6.8,90.2,2307,30.4,3.1,1.6,3068,5.1,6.5,12.4,0.7,639,3363,4015,9.0,28199,16.3,31552,0.5,9.6,7.8,53804,2016,2232,36.9,20.8,57.7,"20802",4.2
13.6,677,29021,3.0,773,10.3,14495,24.8,62.8,2822,2775,16.0,69.5,0.2,1061,5.6,1644,49.8,20.4,7.7,2730,2.2,6.5,32.5,4.1,28.2,1455,8.3,934,2135,0.4,1.8,12.1,33.6,28.3,2.0,2186,"Kingston",2.8,4.8,1.7,2476,1.4,17206,4.1,984,6.6,91.5,1704,31.3,4.2,1.4,2347,3.9,11.4,14.5,1.2,290,2641,1135,9.2,16270,14.1,18235,0.9,11.1,7.8,30758,2016,1029,36.0,22.8,64.7,"20803",4.1
